Prov,Year,Yes,total,proportion,Percentage
AB,2009,3326,10270,0.323855891,32
AB,2010,3326,10270,0.323855891,32
AB,2011,3326,10270,0.323855891,32
AB,2012,3326,10270,0.323855891,32
AB,2013,3575,10270,0.348101266,35
AB,2014,3575,10270,0.348101266,35
AB,2015,3575,10270,0.348101266,35
AB,2016,3575,10270,0.348101266,35
AB,2017,3575,10270,0.348101266,35
AB,2018,3575,10270,0.348101266,35
AB,2019,3575,10270,0.348101266,35
AB,2020,3575,10270,0.348101266,35
AB,2021,3575,10270,0.348101266,35
AB,2022,3575,10270,0.348101266,35
BC,2009,3335,10993,0.303374875,30
BC,2010,3735,10993,0.339761667,34
BC,2011,3735,10993,0.339761667,34
BC,2012,3735,10993,0.339761667,34
BC,2013,3944,10993,0.358773765,36
BC,2014,4258,10993,0.387337397,39
BC,2015,4258,10993,0.387337397,39
BC,2016,4258,10993,0.387337397,39
BC,2017,4258,10993,0.387337397,39
BC,2018,4258,10993,0.387337397,39
BC,2019,4492,10993,0.40862367,41
BC,2020,4492,10993,0.40862367,41
BC,2021,4632,10993,0.421359047,42
BC,2022,4632,10993,0.421359047,42
MB,2009,904,4234,0.213509684,21
MB,2010,904,4234,0.213509684,21
MB,2011,904,4234,0.213509684,21
MB,2012,904,4234,0.213509684,21
MB,2013,904,4234,0.213509684,21
MB,2014,904,4234,0.213509684,21
MB,2015,904,4234,0.213509684,21
MB,2016,904,4234,0.213509684,21
MB,2017,904,4234,0.213509684,21
MB,2018,904,4234,0.213509684,21
MB,2019,904,4234,0.213509684,21
MB,2020,904,4234,0.213509684,21
MB,2021,904,4234,0.213509684,21
MB,2022,904,4234,0.213509684,21
NB,2009,382,2504,0.152555911,15
NB,2010,382,2504,0.152555911,15
NB,2011,382,2504,0.152555911,15
NB,2012,382,2504,0.152555911,15
NB,2013,382,2504,0.152555911,15
NB,2014,382,2504,0.152555911,15
NB,2015,382,2504,0.152555911,15
NB,2016,382,2504,0.152555911,15
NB,2017,382,2504,0.152555911,15
NB,2018,382,2504,0.152555911,15
NB,2019,382,2504,0.152555911,15
NB,2020,382,2504,0.152555911,15
NB,2021,382,2504,0.152555911,15
NB,2022,382,2504,0.152555911,15
NL,2009,619,2169,0.28538497,29
NL,2010,619,2169,0.28538497,29
NL,2011,619,2169,0.28538497,29
NL,2012,619,2169,0.28538497,29
NL,2013,836,2169,0.385431074,39
NL,2014,1028,2169,0.47395113,47
NL,2015,1028,2169,0.47395113,47
NL,2016,1028,2169,0.47395113,47
NL,2017,1028,2169,0.47395113,47
NL,2018,1028,2169,0.47395113,47
NL,2019,1028,2169,0.47395113,47
NL,2020,1534,2169,0.707238359,71
NL,2021,1534,2169,0.707238359,71
NL,2022,1534,2169,0.707238359,71
NS,2009,4974,6740,0.737982196,74
NS,2010,4974,6740,0.737982196,74
NS,2011,4974,6740,0.737982196,74
NS,2012,4974,6740,0.737982196,74
NS,2013,4974,6740,0.737982196,74
NS,2014,4974,6740,0.737982196,74
NS,2015,4974,6740,0.737982196,74
NS,2016,4974,6740,0.737982196,74
NS,2017,4974,6740,0.737982196,74
NS,2018,4974,6740,0.737982196,74
NS,2019,4974,6740,0.737982196,74
